"msec_proto","ISCO08","selfemp10.","selfemp1.9","selfemp0","sup","emp"
"1",100,11,11,13,13,13
"2",110,11,11,13,13,13
"3",210,35,35,35,30,35
"4",300,35,35,35,30,35
"5",310,35,35,35,30,35
"6",1000,11,40,40,13,10
"7",1100,11,11,11,13,13
"8",1110,11,11,11,13,13
"9",1120,11,11,11,13,13
"10",1200,11,40,40,13,13
"11",1210,11,40,40,13,13
"12",1220,11,40,40,13,13
"13",1300,11,40,40,13,13
"14",1310,11,41,41,14,14
"15",1320,11,40,40,14,14
"16",1330,11,40,40,13,13
"17",1340,11,40,40,13,13
"18",1400,11,40,40,14,14
"19",1410,11,40,40,14,14
"20",1420,11,40,40,14,14
"21",1430,11,40,40,14,14
"22",2000,11,11,20,13,20
"23",2100,11,11,21,13,21
"24",2110,11,11,21,13,21
"25",2120,11,11,21,13,21
"26",2130,11,11,21,13,21
"27",2140,11,11,21,13,21
"28",2150,11,11,21,13,21
"29",2160,11,11,21,13,21
"30",2200,11,11,22,13,22
"31",2210,11,11,22,13,22
"32",2220,11,12,32,14,32
"33",2230,11,12,32,14,32
"34",2240,11,40,40,60,60
"35",2250,11,11,22,13,22
"36",2260,11,11,22,13,22
"37",2300,11,11,26,13,26
"38",2310,11,11,26,13,26
"39",2320,11,11,26,13,26
"40",2330,11,12,25,14,25
"41",2340,11,12,25,14,25
"42",2350,11,11,26,13,26
"43",2400,11,11,23,13,23
"44",2410,11,11,23,13,23
"45",2420,11,12,33,14,33
"46",2430,11,11,23,13,23
"47",2500,11,11,21,13,21
"48",2510,11,11,21,13,21
"49",2520,11,12,31,14,31
"50",2600,11,12,24,14,24
"51",2610,11,11,20,13,20
"52",2620,11,12,24,14,24
"53",2630,11,11,20,13,20
"54",2640,11,12,24,14,24
"55",2650,11,12,24,14,24
"56",3000,11,42,42,14,50
"57",3100,11,12,31,14,31
"58",3110,11,12,31,14,31
"59",3120,11,12,31,14,31
"60",3130,11,42,42,14,60
"61",3140,11,12,31,14,31
"62",3150,11,12,31,14,31
"63",3200,11,42,42,60,60
"64",3210,11,12,32,14,32
"65",3220,11,12,32,14,32
"66",3230,11,12,32,14,32
"67",3240,11,42,42,60,50
"68",3250,11,42,42,14,50
"69",3300,11,11,23,13,23
"70",3310,11,11,23,13,23
"71",3320,11,11,23,13,23
"72",3330,11,12,33,14,33
"73",3340,11,42,42,14,51
"74",3350,12,12,33,14,33
"75",3400,11,42,42,14,34
"76",3410,11,12,24,14,34
"77",3420,11,42,42,14,34
"78",3430,11,42,42,14,34
"79",3500,11,42,42,14,50
"80",3510,11,42,42,14,50
"81",3520,11,42,42,14,50
"82",4000,11,42,42,14,51
"83",4100,11,42,42,14,51
"84",4110,11,42,42,14,51
"85",4120,11,42,42,14,51
"86",4130,11,42,42,14,51
"87",4200,11,42,42,59,52
"88",4210,11,42,42,59,52
"89",4220,11,42,42,59,52
"90",4300,11,42,42,14,51
"91",4310,11,42,42,14,51
"92",4320,11,42,42,14,52
"93",4400,11,42,42,59,51
"94",4410,11,42,42,59,51
"95",5000,11,42,42,60,71
"96",5100,11,42,42,60,71
"97",5110,11,42,42,60,71
"98",5120,11,42,42,60,71
"99",5130,11,42,42,60,71
"100",5140,11,42,42,60,71
"101",5150,11,42,42,60,71
"102",5160,11,42,42,60,71
"103",5200,11,42,42,59,71
"104",5210,11,42,42,71,72
"105",5220,11,42,42,59,71
"106",5230,11,42,42,59,71
"107",5240,11,42,42,59,71
"108",5300,11,42,42,60,53
"109",5310,11,42,42,60,53
"110",5320,11,42,42,60,53
"111",5400,35,35,35,60,54
"112",5410,35,35,35,60,54
"113",6000,11,41,41,60,74
"114",6100,11,41,41,60,74
"115",6110,11,41,41,60,74
"116",6120,11,41,41,60,74
"117",6130,11,41,41,60,74
"118",6200,11,41,41,60,74
"119",6210,11,41,41,60,74
"120",6220,11,41,41,60,74
"121",6300,41,41,41,41,41
"122",6310,41,41,41,41,41
"123",6320,41,41,41,41,41
"124",6330,41,41,41,41,41
"125",6340,41,41,41,41,41
"126",7000,11,43,43,60,61
"127",7100,11,43,43,60,61
"128",7110,11,43,43,60,61
"129",7120,11,43,43,60,61
"130",7130,11,43,43,60,61
"131",7200,11,43,43,60,63
"132",7210,11,43,43,60,63
"133",7220,11,43,43,60,63
"134",7230,11,43,43,60,63
"135",7300,11,43,43,60,63
"136",7310,11,43,43,60,63
"137",7320,11,43,43,60,63
"138",7400,11,43,43,60,63
"139",7410,11,43,43,60,63
"140",7420,11,43,43,60,60
"141",7500,11,43,43,60,62
"142",7510,11,43,43,60,62
"143",7520,11,43,43,60,62
"144",7530,11,43,43,60,62
"145",7540,11,43,43,60,62
"146",8000,11,43,43,60,64
"147",8100,11,43,43,60,64
"148",8110,11,43,43,60,64
"149",8120,11,43,43,60,64
"150",8130,11,43,43,60,64
"151",8140,11,43,43,60,64
"152",8150,11,43,43,60,64
"153",8160,11,43,43,60,64
"154",8170,11,43,43,60,64
"155",8180,11,43,43,60,64
"156",8200,11,43,43,60,64
"157",8210,11,43,43,60,64
"158",8300,11,43,43,60,65
"159",8310,11,43,43,60,65
"160",8320,11,43,43,60,72
"161",8330,11,43,43,60,65
"162",8340,11,43,43,60,72
"163",8350,11,43,43,60,65
"164",9000,11,43,43,60,72
"165",9100,11,43,43,60,73
"166",9110,11,43,43,60,73
"167",9120,11,43,43,60,73
"168",9200,11,41,41,60,72
"169",9210,11,41,41,60,72
"170",9300,11,43,43,60,72
"171",9310,11,43,43,60,72
"172",9320,11,43,43,60,72
"173",9330,11,43,43,60,72
"174",9400,11,43,43,60,72
"175",9410,11,43,43,60,72
"176",9500,11,43,43,60,73
"177",9510,11,43,43,60,73
"178",9520,11,43,43,60,73
"179",9600,11,43,43,60,72
"180",9610,11,43,43,60,72
"181",9620,11,43,43,60,72
