ISCO88(4-digit),IPICS-employee(0),IPICS-employee(1-10),IPICS-selfemp(0),IPICS-selfemp(1-10),ESEC-selfemp(11+)
1000,1,1,1,1,1
1100,1,1,1,1,1
1110,1,1,1,1,1
1120,1,1,1,1,1
1130,1,1,1,1,1
1140,1,1,1,1,1
1141,1,1,1,1,1
1142,1,1,1,1,1
1143,1,1,1,1,1
1200,1,1,1,1,1
1210,1,1,1,1,1
1220,1,1,1,1,1
1221,10,10,10,10,10
1222,1,1,1,1,1
1223,1,1,1,1,1
1224,1,1,1,1,1
1225,1,1,1,1,1
1226,1,1,1,1,1
1227,1,1,1,1,1
1228,1,1,1,1,1
1229,1,1,1,1,1
1230,1,1,1,1,1
1231,1,1,1,1,1
1232,1,1,1,1,1
1233,1,1,1,1,1
1234,1,1,1,1,1
1235,1,1,1,1,1
1236,1,1,1,1,1
1237,1,1,1,1,1
1239,1,1,1,1,1
1300,1,1,1,1,1
1310,1,1,1,1,1
1311,10,10,10,10,10
1312,1,1,1,1,1
1313,1,1,1,1,1
1314,1,1,1,1,1
1315,1,1,1,1,1
1316,1,1,1,1,1
1317,1,1,1,1,1
1318,1,1,1,1,1
1319,1,1,1,1,1
2000,5,5,5,5,5
2100,5,5,5,5,5
2110,5,5,5,5,5
2111,5,5,5,5,5
2112,5,5,5,5,5
2113,5,5,5,5,5
2114,5,5,5,5,5
2120,5,5,5,5,5
2121,5,5,5,5,5
2122,5,5,5,5,5
2130,5,5,5,5,5
2131,5,5,5,5,5
2132,6,6,9,9,9
2139,6,6,9,9,9
2140,5,5,5,5,5
2141,5,5,5,5,5
2142,5,5,5,5,5
2143,5,5,5,5,5
2144,5,5,5,5,5
2145,5,5,5,5,5
2146,5,5,5,5,5
2147,5,5,5,5,5
2148,6,6,9,9,9
2149,5,5,5,5,5
2200,5,5,5,5,5
2210,5,5,5,5,5
2211,5,5,5,5,5
2212,5,5,5,5,5
2213,5,5,5,5,5
2220,5,5,5,5,5
2221,5,5,5,5,5
2222,5,5,5,5,5
2223,5,5,5,5,5
2224,5,5,5,5,5
2229,5,5,5,5,5
2230,6,6,9,9,9
2300,6,6,9,9,9
2310,5,5,5,5,5
2320,5,5,5,5,5
2330,6,6,9,9,9
2331,6,6,9,9,9
2332,6,6,9,9,9
2340,6,6,9,9,9
2350,5,5,5,5,5
2351,5,5,5,5,5
2352,5,5,5,5,5
2359,6,6,9,9,9
2400,5,5,5,5,5
2410,6,6,9,9,9
2411,5,5,5,5,5
2412,6,6,9,9,9
2419,6,6,9,9,9
2420,5,5,5,5,5
2421,5,5,5,5,5
2422,5,5,5,5,5
2429,5,5,5,5,5
2430,6,6,9,9,9
2431,6,6,9,9,9
2432,6,6,9,9,9
2440,5,5,5,5,5
2441,5,5,5,5,5
2442,5,5,5,5,5
2443,5,5,5,5,5
2444,6,6,9,9,9
2445,5,5,5,5,5
2446,6,6,9,9,9
2450,6,6,9,9,9
2451,6,6,9,9,9
2452,6,6,9,9,9
2453,6,6,9,9,9
2454,6,6,9,9,9
2455,6,6,9,9,9
2460,6,6,9,9,9
2500,7,7,9,9,9
3000,6,6,9,9,9
3100,3,3,9,9,9
3110,3,3,9,9,9
3111,3,3,9,9,9
3112,3,3,9,9,9
3113,3,3,9,9,9
3114,3,3,9,9,9
3115,3,3,9,9,9
3116,3,3,9,9,9
3117,3,3,9,9,9
3118,3,3,9,9,9
3119,3,3,9,9,9
3120,3,3,9,9,9
3121,3,3,9,9,9
3122,3,3,9,9,9
3123,3,3,9,9,9
3130,3,3,9,9,9
3131,7,7,9,9,9
3132,7,7,9,9,9
3133,7,7,9,9,9
3139,3,3,9,9,9
3140,5,5,5,5,5
3141,3,3,9,9,9
3142,5,5,5,5,5
3143,5,5,5,5,5
3144,3,3,9,9,9
3145,3,3,9,9,9
3150,3,3,9,9,9
3151,3,3,9,9,9
3152,3,3,9,9,9
3200,6,6,9,9,9
3210,6,6,9,9,9
3211,6,6,9,9,9
3212,6,6,9,9,9
3213,6,6,9,9,9
3220,6,6,9,9,9
3221,7,7,9,9,9
3222,7,7,9,9,9
3223,6,6,9,9,9
3224,6,6,9,9,9
3225,7,7,9,9,9
3226,7,7,9,9,9
3227,7,7,9,9,9
3228,7,7,9,9,9
3229,7,7,9,9,9
3230,6,6,9,9,9
3231,6,6,9,9,9
3232,6,6,9,9,9
3240,6,6,9,9,9
3241,6,6,9,9,9
3242,6,6,9,9,9
3300,6,6,9,9,9
3310,6,6,9,9,9
3320,6,6,9,9,9
3330,6,6,9,9,9
3340,5,5,5,5,5
3400,6,6,9,9,9
3410,6,6,9,9,9
3411,6,6,9,9,9
3412,6,6,9,9,9
3413,6,6,9,9,9
3414,7,7,9,9,9
3415,7,7,9,9,9
3416,6,6,9,9,9
3417,2,2,9,9,9
3419,6,6,9,9,9
3420,6,6,9,9,9
3421,6,6,9,9,9
3422,6,6,9,9,9
3423,6,6,9,9,9
3429,6,6,9,9,9
3430,2,2,9,9,9
3431,2,2,9,9,9
3432,2,2,9,9,9
3433,2,2,9,9,9
3434,2,2,9,9,9
3439,2,2,9,9,9
3440,2,2,9,9,9
3441,2,2,9,9,9
3442,2,2,9,9,9
3443,2,2,9,9,9
3444,2,2,9,9,9
3449,2,2,9,9,9
3450,7,7,9,9,9
3460,7,7,9,9,9
3470,7,7,9,9,9
3471,7,7,9,9,9
3472,6,6,9,9,9
3473,8,7,8,9,9
3474,8,7,8,9,9
3475,6,6,9,9,9
3480,6,6,9,9,9
4000,2,2,9,9,9
4100,2,2,9,9,9
4110,2,2,9,9,9
4111,2,2,9,9,9
4112,2,2,9,9,9
4113,2,2,9,9,9
4114,2,2,9,9,9
4115,2,2,9,9,9
4120,2,2,9,9,9
4121,2,2,9,9,9
4122,2,2,9,9,9
4130,2,2,9,9,9
4131,2,2,9,9,9
4132,2,2,9,9,9
4133,2,2,9,9,9
4140,2,2,9,9,9
4141,2,2,9,9,9
4142,2,2,9,9,9
4143,2,2,9,9,9
4144,2,2,9,9,9
4190,2,2,9,9,9
4200,2,2,9,9,9
4210,2,2,9,9,9
4211,8,7,8,9,9
4212,2,2,9,9,9
4213,7,7,9,9,9
4214,7,7,9,9,9
4215,7,7,9,9,9
4220,8,7,8,9,9
4221,8,7,8,9,9
4222,8,7,8,9,9
4223,2,2,9,9,9
4229,8,7,8,9,9
4300,2,2,9,9,9
4400,2,2,9,9,9
5000,7,7,9,9,9
5100,7,7,9,9,9
5110,8,7,8,9,9
5111,8,7,8,9,9
5112,8,7,8,9,9
5113,8,7,8,9,9
5120,8,7,8,9,9
5121,8,7,8,9,9
5122,7,7,9,9,9
5123,8,7,8,9,9
5130,8,7,8,9,9
5131,8,7,8,9,9
5132,8,7,8,9,9
5133,8,7,8,9,9
5139,8,7,8,9,9
5140,8,7,8,9,9
5141,8,7,8,9,9
5142,8,7,8,9,9
5143,8,7,8,9,9
5149,8,7,8,9,9
5150,8,7,8,9,9
5151,8,7,8,9,9
5152,8,7,8,9,9
5160,8,7,8,9,9
5161,7,7,9,9,9
5162,7,7,9,9,9
5163,8,7,8,9,9
5169,8,7,8,9,9
5200,8,7,8,9,9
5210,8,7,8,9,9
5220,8,7,8,9,9
5230,8,7,8,9,9
6000,11,11,11,9,9
6100,11,11,11,9,9
6110,10,10,10,10,10
6111,10,10,10,10,10
6112,10,10,10,10,10
6113,10,10,10,10,10
6114,10,10,10,10,10
6120,10,10,10,10,10
6121,10,10,10,10,10
6122,10,10,10,10,10
6123,10,10,10,10,10
6124,10,10,10,10,10
6129,10,10,10,10,10
6130,10,10,10,10,10
6140,11,11,11,9,9
6141,11,11,11,9,9
6142,11,11,11,9,9
6150,11,11,11,9,9
6151,11,11,11,9,9
6152,11,11,11,9,9
6153,11,11,11,9,9
6154,11,11,11,9,9
6200,11,11,11,9,9
6210,11,11,11,9,9
7000,3,3,9,9,9
7100,3,3,9,9,9
7110,3,3,9,9,9
7111,3,3,9,9,9
7112,3,3,9,9,9
7113,3,3,9,9,9
7119,4,3,4,9,9
7120,3,3,9,9,9
7121,4,3,4,9,9
7122,4,3,4,9,9
7123,4,3,4,9,9
7124,3,3,9,9,9
7129,3,3,9,9,9
7130,3,3,9,9,9
7131,4,3,4,9,9
7132,3,3,9,9,9
7133,3,3,9,9,9
7134,3,3,9,9,9
7135,4,3,4,9,9
7136,3,3,9,9,9
7137,3,3,9,9,9
7140,3,3,9,9,9
7141,3,3,9,9,9
7142,4,3,4,9,9
7143,8,7,8,9,9
7200,3,3,9,9,9
7210,3,3,9,9,9
7211,3,3,9,9,9
7212,3,3,9,9,9
7213,3,3,9,9,9
7214,3,3,9,9,9
7215,4,3,4,9,9
7216,3,3,9,9,9
7220,3,3,9,9,9
7221,3,3,9,9,9
7222,3,3,9,9,9
7223,3,3,9,9,9
7224,3,3,9,9,9
7230,3,3,9,9,9
7231,3,3,9,9,9
7232,3,3,9,9,9
7233,3,3,9,9,9
7240,3,3,9,9,9
7241,3,3,9,9,9
7242,3,3,9,9,9
7243,3,3,9,9,9
7244,3,3,9,9,9
7245,3,3,9,9,9
7300,3,3,9,9,9
7310,3,3,9,9,9
7311,3,3,9,9,9
7312,3,3,9,9,9
7313,3,3,9,9,9
7319,3,3,9,9,9
7320,4,3,4,9,9
7321,4,3,4,9,9
7322,4,3,4,9,9
7323,4,3,4,9,9
7324,3,3,9,9,9
7330,3,3,9,9,9
7331,4,3,4,9,9
7332,3,3,9,9,9
7340,3,3,9,9,9
7341,3,3,9,9,9
7342,3,3,9,9,9
7343,3,3,9,9,9
7344,3,3,9,9,9
7345,3,3,9,9,9
7346,3,3,9,9,9
7400,3,3,9,9,9
7410,4,3,4,9,9
7411,3,3,9,9,9
7412,3,3,9,9,9
7413,3,3,9,9,9
7414,3,3,9,9,9
7415,4,3,4,9,9
7416,3,3,9,9,9
7420,3,3,9,9,9
7421,4,3,4,9,9
7422,3,3,9,9,9
7423,3,3,9,9,9
7424,4,3,4,9,9
7430,4,3,4,9,9
7431,4,3,4,9,9
7432,4,3,4,9,9
7433,3,3,9,9,9
7434,4,3,4,9,9
7435,3,3,9,9,9
7436,3,3,9,9,9
7437,3,3,9,9,9
7440,4,3,4,9,9
7441,3,3,9,9,9
7442,3,3,9,9,9
7510,3,3,9,9,9
7520,3,3,9,9,9
8000,4,3,4,9,9
8100,4,3,4,9,9
8110,4,3,4,9,9
8111,3,3,9,9,9
8112,3,3,9,9,9
8113,3,3,9,9,9
8120,3,3,9,9,9
8121,4,3,4,9,9
8122,3,3,9,9,9
8123,3,3,9,9,9
8124,4,3,4,9,9
8130,4,3,4,9,9
8131,4,3,4,9,9
8139,4,3,4,9,9
8140,4,3,4,9,9
8141,4,3,4,9,9
8142,4,3,4,9,9
8143,4,3,4,9,9
8150,3,3,9,9,9
8151,3,3,9,9,9
8152,4,3,4,9,9
8153,4,3,4,9,9
8154,4,3,4,9,9
8155,4,3,4,9,9
8159,4,3,4,9,9
8160,3,3,9,9,9
8161,3,3,9,9,9
8162,3,3,9,9,9
8163,3,3,9,9,9
8170,4,3,4,9,9
8171,3,3,9,9,9
8172,3,3,9,9,9
8200,4,3,4,9,9
8210,4,3,4,9,9
8211,3,3,9,9,9
8212,4,3,4,9,9
8219,4,3,4,9,9
8220,4,3,4,9,9
8221,4,3,4,9,9
8222,4,3,4,9,9
8223,4,3,4,9,9
8224,4,3,4,9,9
8229,4,3,4,9,9
8230,4,3,4,9,9
8231,4,3,4,9,9
8232,4,3,4,9,9
8240,4,3,4,9,9
8250,4,3,4,9,9
8251,4,3,4,9,9
8252,4,3,4,9,9
8253,4,3,4,9,9
8260,4,3,4,9,9
8261,4,3,4,9,9
8262,4,3,4,9,9
8263,4,3,4,9,9
8264,4,3,4,9,9
8265,4,3,4,9,9
8266,4,3,4,9,9
8269,4,3,4,9,9
8270,4,3,4,9,9
8271,4,3,4,9,9
8272,4,3,4,9,9
8273,4,3,4,9,9
8274,4,3,4,9,9
8275,4,3,4,9,9
8276,4,3,4,9,9
8277,4,3,4,9,9
8278,4,3,4,9,9
8279,4,3,4,9,9
8280,4,3,4,9,9
8281,4,3,4,9,9
8282,4,3,4,9,9
8283,4,3,4,9,9
8284,4,3,4,9,9
8285,4,3,4,9,9
8286,4,3,4,9,9
8290,4,3,4,9,9
8300,4,3,4,9,9
8310,3,3,9,9,9
8311,3,3,9,9,9
8312,4,3,4,9,9
8320,8,7,8,9,9
8321,8,7,8,9,9
8322,8,7,8,9,9
8323,4,3,4,9,9
8324,4,3,4,9,9
8330,11,11,11,9,9
8331,11,11,11,9,9
8332,3,3,9,9,9
8333,3,3,9,9,9
8334,4,3,4,9,9
8340,4,3,4,9,9
9000,4,3,4,9,9
9100,8,7,8,9,9
9110,8,7,8,9,9
9111,8,7,8,9,9
9112,8,7,8,9,9
9113,8,7,8,9,9
9120,8,7,8,9,9
9130,8,7,8,9,9
9131,8,7,8,9,9
9132,8,7,8,9,9
9133,8,7,8,9,9
9140,8,7,8,9,9
9141,8,7,8,9,9
9142,8,7,8,9,9
9150,8,7,8,9,9
9151,8,7,8,9,9
9152,8,7,8,9,9
9153,8,7,8,9,9
9160,4,3,4,9,9
9161,4,3,4,9,9
9162,4,3,4,9,9
9200,11,11,11,9,9
9210,11,11,11,9,9
9211,11,11,11,9,9
9212,11,11,11,9,9
9213,11,11,11,9,9
9300,4,3,4,9,9
9310,4,3,4,9,9
9311,4,3,4,9,9
9312,4,3,4,9,9
9313,4,3,4,9,9
9320,4,3,4,9,9
9321,4,3,4,9,9
9322,4,3,4,9,9
9329,4,3,4,9,9
9330,4,3,4,9,9
9331,8,7,8,9,9
9332,4,3,4,9,9
9333,4,3,4,9,9
