"ISCO88COM","semp10.","semp1.9","semp0","sup","emp"
0100,11,11,13,13,13
0110,35,35,35,14,35
1000,11,40,40,13,10
1100,11,11,11,13,13
1110,11,11,11,13,13
1140,11,11,11,13,13
1200,11,40,40,13,13
1210,11,40,40,13,13
1220,11,40,40,14,14
1230,11,40,40,13,13
1300,11,40,40,14,14
1310,11,40,40,14,14
2000,11,11,20,13,20
2100,11,11,21,13,21
2110,11,11,21,13,21
2120,11,11,21,13,21
2130,11,11,21,13,21
2140,11,11,21,13,21
2200,11,11,22,13,22
2210,11,11,22,13,22
2220,11,11,22,13,22
2230,11,12,32,14,32
2300,11,12,25,14,25
2310,11,11,26,13,26
2320,11,12,25,14,25
2330,11,12,25,14,25
2340,11,12,25,14,25
2350,11,11,26,13,26
2400,11,11,23,13,23
2410,11,11,23,13,23
2420,11,11,20,13,20
2430,11,12,24,14,24
2440,11,12,24,14,24
2450,11,12,24,14,24
2460,11,12,24,14,24
2470,11,12,24,14,24
3000,11,42,42,14,50
3100,11,12,31,14,31
3110,11,12,31,14,31
3120,11,12,31,14,31
3130,11,42,42,14,60
3140,11,12,31,14,31
3150,11,42,42,60,60
3200,11,12,32,14,32
3210,11,12,32,14,32
3220,11,12,32,14,32
3230,11,12,32,14,32
3300,11,42,42,14,50
3310,11,42,42,14,50
3320,11,42,42,14,50
3330,11,42,42,14,50
3340,11,12,25,14,25
3400,11,42,42,14,50
3410,11,42,42,14,51
3420,11,12,33,14,33
3430,11,42,42,14,51
3440,12,12,33,14,33
3450,12,12,30,14,30
3460,11,42,42,14,34
3470,11,42,42,14,34
3480,11,12,24,14,24
4000,11,42,42,14,51
4100,11,42,42,14,51
4110,11,42,42,14,51
4120,11,42,42,14,51
4130,11,42,42,59,52
4140,11,42,42,59,72
4190,11,42,42,14,51
4200,11,42,42,14,51
4210,11,42,42,59,52
4220,11,42,42,59,52
5000,11,42,42,60,71
5100,11,42,42,60,71
5110,11,42,42,60,71
5120,11,42,42,60,73
5130,11,42,42,60,53
5140,11,42,42,60,53
5160,50,50,50,60,54
5200,11,42,42,59,54
5210,11,42,42,14,30
5220,11,42,42,59,71
6000,11,41,41,60,74
6100,11,41,41,60,74
6110,11,41,41,60,74
6120,11,41,41,60,74
6130,11,41,41,60,74
6140,11,41,41,60,74
6150,11,41,41,60,74
6210,41,41,41,41,41
7000,11,43,43,60,61
7100,11,43,43,60,61
7110,11,43,43,60,61
7120,11,43,43,60,61
7130,11,43,43,60,61
7140,11,43,43,60,61
7200,11,43,43,60,61
7210,11,43,43,60,61
7220,11,43,43,60,61
7230,11,43,43,60,63
7240,11,43,43,60,63
7300,11,43,43,60,60
7310,11,43,43,60,60
7320,11,43,43,60,63
7330,11,43,43,60,63
7340,11,43,43,60,63
7400,11,43,43,60,62
7410,11,43,43,60,62
7420,11,43,43,60,62
7430,11,43,43,60,62
7440,11,43,43,60,62
8000,11,43,43,60,64
8100,11,43,43,60,64
8110,11,43,43,60,64
8120,11,43,43,60,64
8130,11,43,43,60,64
8140,11,43,43,60,64
8150,11,43,43,60,64
8160,11,43,43,60,64
8170,11,43,43,60,64
8200,11,43,43,60,64
8210,11,43,43,60,64
8220,11,43,43,60,64
8230,11,43,43,60,64
8240,11,43,43,60,64
8250,11,43,43,60,62
8260,11,43,43,60,64
8270,11,43,43,60,64
8280,11,43,43,60,64
8290,11,43,43,60,64
8300,11,43,43,60,72
8310,11,43,43,60,65
8320,11,43,43,60,72
8330,11,43,43,60,72
8340,11,43,43,60,65
9000,11,43,43,60,72
9100,11,43,43,60,72
9110,11,43,43,60,71
9120,11,43,43,60,73
9130,11,43,43,60,73
9140,11,43,43,60,73
9150,11,43,43,60,72
9160,11,43,43,60,72
9200,11,41,41,60,72
9210,11,41,41,60,72
9300,11,43,43,60,72
9310,11,43,43,60,72
9320,11,43,43,60,72
9330,11,43,43,60,72
